class,type,optional,name,showif,label,choice1,choice2,choice3,choice4,choice5,choice6,choice7,choice8,choice9,choice10,choice11,choice12,value
,note,,questionnaires,,"## End Questionnaires

Great, you've made it this far. These four questionnaires are the last step before closing this part of the study!
Please take your time to complete these. They allow us to know how you were feeling overall during the study.",,,,,,,,,,,,,
,note,,QuestionGAD,,"**Questionnaire 1 : Over the last 2 weeks, how often have you been bothered by the following problems?**",,,,,,,,,,,,,
,mc_button,,GAD_1,,"Feeling nervous, anxious or on edge",Not at all,Several days,More than half of the days,Nearly every day,,,,,,,,,
,mc_button,,GAD_2,,Not being able to stop or control worrying,Not at all,Several days,More than half of the days,Nearly every day,,,,,,,,,
,mc_button,,GAD_3,,Worrying too much about different things,Not at all,Several days,More than half of the days,Nearly every day,,,,,,,,,
,mc_button,,GAD_4,,Trouble relaxing,Not at all,Several days,More than half of the days,Nearly every day,,,,,,,,,
,mc_button,,GAD_5,,Being so restless that it is hard to sit still,Not at all,Several days,More than half of the days,Nearly every day,,,,,,,,,
,mc_button,,GAD_6,,Becoming easily annoyed or irritable,Not at all,Several days,More than half of the days,Nearly every day,,,,,,,,,
,mc_button,,GAD_7,,Feeling afraid as if something awful might happen,Not at all,Several days,More than half of the days,Nearly every day,,,,,,,,,
,note,,QuestionBDI_II,,"**Questionnaire 2 : This questionnaire consists of 21 groups of statements. Please read each group of statements carefully. And then pick out the one statement in each group that best describes the way you have been feeling during the past two weeks, including today. If several statements in the group seem to apply equally well, circle the highest number for that group.**",,,,,,,,,,,,,
,mc,,BDI2_1,,Sadness,I do not feel sad,I feel sad much of the time.,I am sad all the time,I am so sad or unhappy that I can't stand it,,,,,,,,,
,mc,,BDI2_2,,Pessimism,I am not discouraged about my future,I feel more discouraged about my future than I used to,I do not expect things to work out for me,I feel my future is hopeless and will only get worse,,,,,,,,,
,mc,,BDI2_3,,Past Failure,I do not feel like a failure,I have failed more than I should have,"As I look back, I see a lot of failures",I feel I am a total failure as a person,,,,,,,,,
,mc,,BDI2_4,,Loss of Pleasure,I get as much pleasure as I ever did from the things I enjoy,I don't enjoy things as much as I used to,I get very little pleasure from the things I used to enjoy,I can't get any pleasure from the things I used to enjoy,,,,,,,,,
,mc,,BDI2_5,,Guilty Feelings,I don't feel particularly guilty,I feel guilty over many things I have done or should have done,I feel quite guilty most of the time,I feel guilty all of the time,,,,,,,,,
,mc,,BDI2_6,,Punishment Feelings,I don't feel I am being punished,I feel I may be punished,I expect to be punished,I feel I am being punished,,,,,,,,,
,mc,,BDI2_7,,Self-Dislike,I feel the same about myself as ever,I have lost confidence in myself,I am disappointed in myself,I dislike myself,,,,,,,,,
,mc,,BDI2_8,,Self-Criticalness,I don't criticize or blame myself more than usual,I am more critical of myself than I used to be,I criticize myself for all of my faults,I blame myself for everything bad that happens,,,,,,,,,
,mc,,BDI2_9,,Suicidal Thoughts or Wishes,I don't have any thoughts of killing myself,"I have thoughts of killing myself, but I would not carry them out",I would like to kill myself,I would kill myself if I had the chance,,,,,,,,,
,mc,,BDI2_10,,Crying,I don't cry anymore than I used to,I cry more than I used to,I cry over every little thing,"I feel like crying, but I can't",,,,,,,,,
,mc,,BDI2_11,,Agitation,I am no more restless or wound up than usual,I feel more restless or wound up than usual,"I am so restless or agitated, it's hard to stay still",I am so restless or agitated that I have to keep moving or doing something,,,,,,,,,
,mc,,BDI2_12,,Loss of Interest,I have not lost interest in other people or activities,I am less interested in other people or things than before,I have lost most of my interest in other people or things,It's hard to get interested in anything,,,,,,,,,
